Node,Type,ScreeningResult
mHPrHP,down,ND
mCiOP,down,Level 3
HNP,up,ND
DOP,up,Level 1
HDP,up,ND
BCHPP,up,ND
mCHxPP,down,ND
iONP,up,Level 2
iDiOP,up,ND
BMOP,up,Level 2
mMOP,down,ND
mHMOP,down,ND
mOMOP,down,ND
81CMP,down,ND
B4MOP,up,Level 2
m4MOP,down,ND
mH4MOP,down,ND
mO4MOP,down,Level 2
mCMEHP,down,Level 3
DiNP,up,Level 1
mPrHP,down,ND
mPOHP,down,ND
mPCHP,down,Level 3
iDOP,up,ND
DeiOP,up,ND
iNNP,up,Level 2
ODP,up,ND
HUP,up,ND
mUP,down,ND
mHUP,down,Level 4
mOUP,down,ND
mCDP,down,Level 2
DNP,up,Level 1
iDiNP,up,Level 2
iOiUP,up,Level 3
miUP,down,ND
mHiUP,down,ND
109CMP,down,ND
DDcP,up,ND
mDcP,down,ND
iOUP,up,Level 3
DeiNP,up,Level 2
HiTP,up,ND
miTP,down,ND
mHiTP,down,ND
121CMP,down,ND
iDNP,up,Level 3
iNiUP,up,Level 3
DiDP,up,Level 2
DeNP,up,Level 3
iNUP,up,Level 3
iUNP,up,Level 3
NUP,up,Level 3
DDP,up,Level 2
DeiUP,up,Level 2
iDUP,up,Level 2
NTP,up,ND
mTDP,down,ND
mHTDP,down,ND
mOTDP,down,ND
107CMP,down,ND
iNiTP,up,Level 4
DiUP,up,Level 2
DeUP,up,Level 2
BTNP,up,ND
mTNP,down,ND
mHTNP,down,ND
111CMP,down,ND
iUUP,up,Level 2
iTNP,up,Level 4
DUP,up,Level 2
iDiTP,up,ND
iDTP,up,ND
mTP,down,ND
mHTP,down,Level 4
mOTP,down,Level 2
122CMP,down,ND
DeiTP,up,ND
iTiUP,up,Level 4
iTUP,up,Level 4
DDdP,up,Level 3
mDdP,down,ND
mHDdP,down,ND
mODdP,down,ND
120CMP,down,ND
DiTP,up,ND
DTP,up,ND
DOcP,up,ND
mOcP,down,ND
mHOcP,down,ND
mOOcP,down,ND
123CMP,down,ND
