Source,Target,Mechanism,CooccurrenceFrequency,CooccurrenceProbability,RelationType
BMHP,mCPP,w-ab,0,0.0,v_shape
MNPMP,miDP,mono,0,0.0,v_shape
MNPMP,mHiDP,w-1-OH,0,0.0,v_shape
MNPMP,mCiNP,w-COOH,0,0.0,v_shape
MNPMP,mCPP,w-ab,0,0.0,v_shape
MNPMP,mBzP,mono,0,0.0,v_shape
BDP,mBP,mono,0,0.0,v_shape
BDP,m2HBP,mOH,0,0.0,v_shape
BDP,mHBP,w-1-OH,0,0.0,v_shape
BDP,mDP,mono,0,0.0,v_shape
BDP,m9PHHP,w-1-OH,0,0.0,v_shape
BDP,m9POHP,w-1-oxo,0,0.0,v_shape
BDP,mPHHP,mOH,0,0.0,v_shape
BDP,m1POHP,moxo,0,0.0,v_shape
BDP,mCNP,w-COOH,0,0.0,v_shape
BDP,mCPP,w-ab,0,0.0,v_shape
NPP,mNP,mono,0,0.0,v_shape
NPP,mHNP,w-1-OH,0,0.0,v_shape
NPP,mONP,w-1-oxo,0,0.0,v_shape
NPP,m8COP,w-COOH,0,0.0,v_shape
NPP,mCPP,w-ab,0,0.0,v_shape
NPP,mPP,mono,0,0.0,v_shape
NPP,m4HPP,w-1-OH,0,0.0,v_shape
NPP,m4OPP,w-1-oxo,0,0.0,v_shape
NPP,mCBP,w-COOH,0,0.0,v_shape
DiOP,miOP,mono,0,0.0,v_shape
DiOP,mHiOP,w-1-OH,0,0.0,v_shape
DiOP,71CMP,w-COOH,0,0.0,v_shape
DiOP,mCPP,w-ab,5,0.16114398,v_shape
EHiDP,mEHP,mono,0,0.0,v_shape
EHiDP,mEHHP,w-1-OH,0,0.0,v_shape
EHiDP,mEOHP,w-1-oxo,0,0.0,v_shape
EHiDP,mECPP,w-COOH,0,0.0,v_shape
EHiDP,mCMHP,w-COOH-br,0,0.0,v_shape
EHiDP,mCPP,w-ab,0,0.0,v_shape
EHiDP,miDP,mono,0,0.0,v_shape
EHiDP,mHiDP,w-1-OH,0,0.0,v_shape
EHiDP,mCiNP,w-COOH,0,0.0,v_shape
HiDP,mHP,mono,0,0.0,v_shape
HiDP,mHHP,w-1-OH,0,0.0,v_shape
HiDP,mOHP,w-1-oxo,0,0.0,v_shape
HiDP,m5CPP,w-COOH,0,0.0,v_shape
HiDP,mCPP,w-ab,0,0.0,v_shape
HiDP,miDP,mono,0,0.0,v_shape
HiDP,mHiDP,w-1-OH,0,0.0,v_shape
HiDP,mCiNP,w-COOH,0,0.0,v_shape
iNiOP,miNP,mono,0,0.0,v_shape
iNiOP,mHiNP,w-1-OH,0,0.0,v_shape
iNiOP,mCiOP,w-COOH,0,0.0,v_shape
iNiOP,mCPP,w-ab,0,0.0,v_shape
iNiOP,miOP,mono,0,0.0,v_shape
iNiOP,mHiOP,w-1-OH,0,0.0,v_shape
iNiOP,71CMP,w-COOH,0,0.0,v_shape
DPrHP,mPrHP,mono,39,0.42273856,paternal
DPrHP,mHPrHP,w-1-OH,5,0.138219731,paternal
DPrHP,mPOHP,w-1-oxo,7,0.154956133,paternal
DPrHP,mPCHP,w-COOH,3,0.12148333,paternal
DPrHP,mCPP,w-ab,22,0.280479146,v_shape
HNP,mHpP,mono,0,0.0,v_shape
HNP,mHHpP,w-1-OH,0,0.0,v_shape
HNP,mOHpP,w-1-oxo,0,0.0,v_shape
HNP,mCHxP,w-COOH,0,0.0,v_shape
HNP,mCPP,w-ab,0,0.0,v_shape
HNP,mNP,mono,0,0.0,v_shape
HNP,mHNP,w-1-OH,0,0.0,v_shape
HNP,mONP,w-1-oxo,0,0.0,v_shape
HNP,m8COP,w-COOH,0,0.0,v_shape
DOP,mOP,mono,144,0.172893005,v_shape
DOP,mHOP,w-1-OH,0,0.0,v_shape
DOP,mOOP,w-1-oxo,0,0.0,v_shape
DOP,mCHpP,w-COOH,5,0.01836271,v_shape
DOP,mCPP,w-ab,135,0.162887446,v_shape
HDP,mHP,mono,0,0.0,v_shape
HDP,mHHP,w-1-OH,0,0.0,v_shape
HDP,mOHP,w-1-oxo,0,0.0,v_shape
HDP,m5CPP,w-COOH,0,0.0,v_shape
HDP,mCPP,w-ab,0,0.0,v_shape
HDP,mDP,mono,0,0.0,v_shape
HDP,m9PHHP,w-1-OH,0,0.0,v_shape
HDP,m9POHP,w-1-oxo,0,0.0,v_shape
HDP,mPHHP,mOH,0,0.0,v_shape
HDP,m1POHP,moxo,0,0.0,v_shape
HDP,mCNP,w-COOH,0,0.0,v_shape
BCHPP,mCHxPP,mono,0,0.0,sequential
iONP,miOP,mono,0,0.0,v_shape
iONP,mHiOP,w-1-OH,0,0.0,v_shape
iONP,71CMP,w-COOH,0,0.0,v_shape
iONP,mCPP,w-ab,0,0.0,v_shape
iONP,mNP,mono,0,0.0,v_shape
iONP,mHNP,w-1-OH,0,0.0,v_shape
iONP,mONP,w-1-oxo,0,0.0,v_shape
iONP,m8COP,w-COOH,0,0.0,v_shape
iDiOP,miDP,mono,0,0.0,v_shape
iDiOP,mHiDP,w-1-OH,0,0.0,v_shape
iDiOP,mCiNP,w-COOH,0,0.0,v_shape
iDiOP,mCPP,w-ab,0,0.0,v_shape
iDiOP,miOP,mono,0,0.0,v_shape
iDiOP,mHiOP,w-1-OH,0,0.0,v_shape
iDiOP,71CMP,w-COOH,0,0.0,v_shape
BMOP,mMOP,mono,0,0.0,paternal
BMOP,mHMOP,w-1-OH,0,0.0,paternal
BMOP,mOMOP,w-1-oxo,0,0.0,paternal
BMOP,81CMP,w-COOH,0,0.0,paternal
BMOP,mCPP,w-ab,0,0.0,v_shape
B4MOP,m4MOP,mono,0,0.0,paternal
B4MOP,mH4MOP,w-1-OH,0,0.0,paternal
B4MOP,mO4MOP,w-1-oxo,0,0.0,paternal
B4MOP,mCMEHP,w-COOH,0,0.0,paternal
B4MOP,mCPP,w-ab,0,0.0,v_shape
DiNP,miNP,mono,265,0.245683925,v_shape
DiNP,mHiNP,mOH,55,0.059100185,v_shape
DiNP,mCiOP,w-COOH,52,0.056434703,v_shape
DiNP,mCPP,w-ab,148,0.141730127,v_shape
iDOP,miDP,mono,0,0.0,v_shape
iDOP,mHiDP,w-1-OH,0,0.0,v_shape
iDOP,mCiNP,w-COOH,0,0.0,v_shape
iDOP,mCPP,w-ab,0,0.0,v_shape
iDOP,mOP,mono,0,0.0,v_shape
iDOP,mHOP,w-1-OH,0,0.0,v_shape
iDOP,mOOP,w-1-oxo,0,0.0,v_shape
iDOP,mCHpP,w-COOH,0,0.0,v_shape
DeiOP,mDP,mono,0,0.0,v_shape
DeiOP,m9PHHP,w-1-OH,0,0.0,v_shape
DeiOP,m9POHP,w-1-oxo,0,0.0,v_shape
DeiOP,mPHHP,mOH,0,0.0,v_shape
DeiOP,m1POHP,moxo,0,0.0,v_shape
DeiOP,mCNP,w-COOH,0,0.0,v_shape
DeiOP,mCPP,w-ab,0,0.0,v_shape
DeiOP,miOP,mono,0,0.0,v_shape
DeiOP,mHiOP,w-1-OH,0,0.0,v_shape
DeiOP,71CMP,w-COOH,0,0.0,v_shape
iNNP,miNP,mono,0,0.0,v_shape
iNNP,mHiNP,w-1-OH,0,0.0,v_shape
