,Up,Down,Name,Number,CooccurrenceProbability
208,BeOP,mHOP,w-1-OH,0,0
209,BeOP,mOOP,w-1-oxo,0,0
210,BeOP,mCHpP,w-COOH,0,0
211,BeOP,mCPP,w-ab,0,0
212,CiOP,mCHP,mono,0,0
213,CiOP,miOP,mono,0,0
214,CiOP,mHiOP,w-1-OH,0,0
215,CiOP,71CMP,w-COOH,0,0
216,CiOP,mCPP,w-ab,0,0
217,BNP,mBP,mono,0,0
218,BNP,m2HBP,mOH,0,0
219,BNP,mHBP,w-1-OH,0,0
220,BNP,mNP,mono,0,0
221,BNP,mHNP,w-1-OH,0,0
222,BNP,mONP,w-1-oxo,0,0
223,BNP,m8COP,w-COOH,0,0
224,BNP,mCPP,w-ab,0,0
225,DiHpP,miHpP,mono,0,0
226,DiHpP,mHiHpP,w-1-OH,0,0
227,DiHpP,61CMP,w-COOH,0,0
228,DiHpP,mCPP,w-ab,9,0.157220367
229,DPrPP,mPrPP,mono,0,0
230,DPrPP,mHPrPP,w-1-OH,0,0
231,DPrPP,mOPrPP,w-1-oxo,0,0
232,DPrPP,62CMP,w-COOH,0,0
233,DPrPP,mCPP,w-ab,0,0
234,DEHP,mEHP,mono,1417,0.529767201
235,DEHP,mEHHP,w-1-OH,637,0.240503341
236,DEHP,mEOHP,w-1-oxo,666,0.251258023
237,DEHP,mECPP,w-COOH,490,0.185988228
238,DEHP,mCMHP,w-COOH-br,144,0.057673747
239,DEHP,mCPP,w-ab,261,0.101063326
240,BMNP,mBP,mono,0,0
241,BMNP,m2HBP,mOH,0,0
242,BMNP,mHBP,w-1-OH,0,0
243,BMNP,miDP,mono,0,0
244,BMNP,mHiDP,w-1-OH,0,0
245,BMNP,mCiNP,w-COOH,0,0
246,BMNP,mCPP,w-ab,0,0
247,HiOP,mHP,mono,0,0
248,HiOP,mHHP,w-1-OH,0,0
249,HiOP,mOHP,w-1-oxo,0,0
250,HiOP,m5CPP,w-COOH,0,0
251,HiOP,mCPP,w-ab,0,0
252,HiOP,miOP,mono,0,0
253,HiOP,mHiOP,w-1-OH,0,0
254,HiOP,71CMP,w-COOH,0,0
255,DHpP,mHpP,mono,9,0.157220367
256,BMHP,mMHP,mono,0,0
257,BMHP,mHMHP,w-1-OH,0,0
258,BMHP,mOMHP,w-1-oxo,0,0
259,BMHP,66CMP,w-COOH,0,0
260,BMHP,mCPP,w-ab,0,0
261,MNPMP,miDP,mono,0,0
262,MNPMP,mHiDP,w-1-OH,0,0
