Index,Name,PAE,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TPR1,TPR2,TPR3,TPR4,TPR5,TPR6,TPR7,TPR8,TPR9
314,iTNP_w-1,iTNP,miTP,mHiTP,,,,,,,,,590,591,,,,,,,
315,iTNP_w,iTNP,miTP,121CMP,mCPP,,,,,,,,590,592,593,,,,,,
316,iTNP_w-1,iTNP,mNP,mHNP,mONP,,,,,,,,594,595,596,,,,,,
317,iTNP_w,iTNP,mNP,m8COP,mCPP,,,,,,,,594,597,593,,,,,,
318,DUP_w-1,DUP,mUP,mHUP,mOUP,,,,,,,,598,599,600,,,,,,
319,DUP_w,DUP,mUP,mCDP,mCPP,,,,,,,,598,601,602,,,,,,
320,iDiTP_w-1,iDiTP,miDP,mHiDP,,,,,,,,,603,604,,,,,,,
321,iDiTP_w,iDiTP,miDP,mCiNP,mCPP,,,,,,,,603,605,606,,,,,,
322,iDiTP_w-1,iDiTP,miTP,mHiTP,,,,,,,,,607,608,,,,,,,
323,iDiTP_w,iDiTP,miTP,121CMP,mCPP,,,,,,,,607,609,606,,,,,,
324,iDTP_w-1,iDTP,miDP,mHiDP,,,,,,,,,610,611,,,,,,,
325,iDTP_w,iDTP,miDP,mCiNP,mCPP,,,,,,,,610,612,613,,,,,,
326,iDTP_w-1,iDTP,mTP,mHTP,mOTP,,,,,,,,614,615,616,,,,,,
327,iDTP_w,iDTP,mTP,122CMP,mCPP,,,,,,,,614,617,613,,,,,,
328,DeiTP_w-1,DeiTP,mDP,m9PHHP,m9POHP,,,,,,,,618,619,620,,,,,,
329,DeiTP_mOH,DeiTP,mDP,mPHHP,m1POHP,,,,,,,,618,621,622,,,,,,
330,DeiTP_w,DeiTP,mDP,mCNP,mCPP,,,,,,,,618,623,624,,,,,,
331,DeiTP_w-1,DeiTP,miTP,mHiTP,,,,,,,,,625,626,,,,,,,
332,DeiTP_w,DeiTP,miTP,121CMP,mCPP,,,,,,,,625,627,624,,,,,,
333,iTiUP_w-1,iTiUP,miTP,mHiTP,,,,,,,,,628,629,,,,,,,
334,iTiUP_w,iTiUP,miTP,121CMP,mCPP,,,,,,,,628,630,631,,,,,,
335,iTiUP_w-1,iTiUP,miUP,mHiUP,,,,,,,,,632,633,,,,,,,
336,iTiUP_w,iTiUP,miUP,109CMP,mCPP,,,,,,,,632,634,631,,,,,,
337,iTUP_w-1,iTUP,miTP,mHiTP,,,,,,,,,635,636,,,,,,,
